Drug Reaction,"An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.so apaan mudra is the best solution for drug reaction.First, sit in a comfortable position, either cross-legged in padmasana or on your knees in vajrasana. Next, place your palms on your legs facing upwards. Now, join the tips of your middle and ring fingers of each hand to the tip of the thumb of the respective hand. The other two fingers of each hand will remain straight. Apply slight pressure on the tips of the middle and ring fingers and thumb. Breathe normally while performing this mudra. And Balasana, anuloma vilonma yogasanas also helps very well. Spread your knees as wide as your mat, keeping the tops of your feet on the floor with the big toes touching. Rest your belly between your thighs and root your forehead to the floor. Relax the shoulders, jaw, and eyes. If it is not comfortable to place the forehead on the floor, rest it on a block or two stacked fists."
Malaria,"An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.so prana mudra is the best solution for Malaria.Stretch your hands outward and allow them to rest on the thighs, palms facing upwards. Now, touch the tip of the thumb with ring and little fingers. And  vajrasana and bhastrika pranyama yogasanas also helps very well. Vajrasana is Kneel down.Bring your knees to close together.Sit back between your calves.Pull your feet as close to your buttocks as you can.Ensure that your back is straight. Stretch your arms out forward and bring your palms to cover your knees.At the outset, maintain the posture for 2 minutes.Bhastrika involves a rapid and forceful process of inhalation and exhalation powered by the movement of the diaphragm. The movement of air is accompanied by an audible sound. One inhale and exhale equals one round of bhastrika, and it may be repeated for many consecutive rounds."
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens. So Bhrama mudra is the best solution for allergy.Place your index finger at the base of your thumb.Touch the tip of your thumb beside the fingernail of the middle finger.Extend your ring finger and little fingers.And vrikshasana ,salambasarvangasana yogasanas also helps very well.vajrasana is Kneel down.Bring your knees to close together.Sit back between your calves.Pull your feet as close to yourbuttocks as you can.Ensure that your back is straight.Stretch your arms out forward and bring your palms to cover your knees.At the outset, maintain the posture for 2 minutes.salambasarvangasana is Lift your legs upwards till your feet are pointing directly up - that is, till your legs are perpendicular to your torso. Tuck your hands underneath yourself with your palms facing up. With your hands under your buttocks, prepare to raise your torso. Lift your torso gradually till you are resting on your shoulders."
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.So gyan mudra is the best solution for hypothyroidism.Keep your hands on your knees with the palms facing upwards. In each of your hands, join the tips of the index finger to the thumb and apply light pressure. Keeping the other three fingers outstretched, close your eyes and focus on your breathing. You may perform Gyan mudra for any duration between 15-30 minutes.And sarvangasana ,ustrasana yogasanas also helpes very well. Sarvangasana is Lie down flat on your back.Breathe deeply.Tuck your hands underneath yourself with your palms facing up.Lift your torso gradually till you are resting on your shoulder.Your arms must now be bent at the elbow. Slowly straighten your back.Keep your knees firm but relax your calf muscles now.ustrasana is Stand on the knees. Keep the thighs fully straight. Lean in the backward direction. Push the hips in the forward direction. Then bend the head and the spine as backward and as far as possible without straining. Relax the body and the muscles of the back."
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.so,apana mudra is the best solution for psoriasis.First, sit in a comfortable position, either cross-legged in padmasana or on your knees in vajrasana. Next, place your palms on your legs facing upwards. Now, join the tips of your middle and ring fingers of each hand to the tip of the thumb of the respective hand. The other two fingers of each hand will remain straight. Apply slight pressure on the tips of the middle and ring fingers and thumb. Breathe normally while performing this mudra.And Balasana , standing forward fold yogasanas also helps very well. Balasana is Spread your knees as wide as your mat, keeping the tops of your feet on the floor with the big toes touching. Rest your belly between your thighs and root your forehead to the floor. Relax the shoulders, jaw, and eyes. If it is not comfortable to place the forehead on the floor, rest it on a block or two stacked fists."
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.so apana vayu mudra is the best solution for gerd.find a quiet place and sit comfortably with your spine tall.extend the arms forward, palms up.fold your indexfinger in towards the center of your palm.cross your thumb over the index finger.touch the tip of the thumb to the tips of the middle AND ring fingers.keep little finger straight.And vibhanga and madhya pranayamas also very helpful.Puraka, or inhalation.Kumbhaka, or retention.Rechaka, or exhalation."
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases.So prithvi mudra is the best solution for chronic cholestasis.First, sit in a relaxed position.Now, bring your ring finger and your thumb closer.Next, place your hands with palms facing upwards on the thighs or above the knees.Slowly fold your ring finger and tap the tip of the ring finger to the tip of the thumb with some pressure.And Dhanurasana ,ardhamatsyendrasanas also very helpful.Dhanurasana is Lie down flat on your abdomen.Ensure that your forehead is placed against the floor and that your legs are close together.Bend your legs at the knees and bring your feet up behind you.Stretch your arms backward and grasp your ankles.Inhale.Your body should be arching upwards now.ardhamatsyendrasana is Sit down with your legs straight and relax the entire body.Bend the left leg and put the left heel near the right buttock.Put the sole of theright foot flat on the ground outside of the left knee.Both buttocks should remain on the mat.The back should be relaxed and upright."
hepatitis A,"Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.So prana mudra is the best solution for hepatitis A.Sitting comfortably, slowly inhale through your nose and count to 5.Keeping your lips sealed, breathe out through your nose and try to match the length of your inhale.Continue to inhale and exhale using the same process for 5-8 minutes.And shalabasana ,marjariasanas also very helpful.shalabasana is Lie on your stomach and place your chin on the floor.
1.Place the arms under the belly.
2.The hands are under the thigh, palm facing downward.
3.Breathe in and press the palms against the mat.
4.Keep the legs straight and raise the legs as high as comfortable.
5.Hold this pose and keep breathing.
Marjariasana is Inhale and look up towards the ceiling, arching your back and lowering your belly towards the ground. Exhale and tuck your chin towards your chest, rounding your spine and bringing your belly button towards your spine. Repeat these movements, inhaling as you look up and exhaling as you round your spine."
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.So prithvi mudra is the best solution for osteoarithrotis.First, sit in a relaxed position.Now, bring your ring finger and your thumb closer.Next, place your hands with palms facing upwards on the thighs or above the knees.Slowly fold your ring finger and tap the tip of the ring finger to the tip of the thumb with some pressure.And tadasana and warriorII pose are also very helpful.tadasana is Stand with your feel parallel, the bases of your big toes touching, and your heels slightly apart.Lift and spread your toes and then release them back down on the mat.Without pushing your lower front ribs forward, lift the top of your sternum straight toward the ceiling."
(vertigo) Paroymsal  Positional Vertigo,"Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.so shunya mudra is the best solution for (vertigo) Paroymsal  Positional Vertigo.The steps to perform shunya mudra are as follows.
1.Sit in a comfortable position like vajrasana (kneeling pose) or padmasana (lotus pose). ...
2.Relax your head, neck, and shoulders.
3.Keep your spine as erect as possible.
4.Now, place both your hands on your respective knees.
5.Make sure both your palms are facing upward.And salamba sirsasana also very helpful. Slamba sirsan is Stand up on your knees and place the hands on the mat. Lower your head on the mat and move your legs closer to your torso. Find your balance before lifting the feet and then gradually lift the feet off the ground, straightening your legs up. Balance on your head with your arms supporting your balance."
